"pathway_a","pathway_b","correlation","partial_correlation","p_value","FDR"
"HALLMARK_ANGIOGENESIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.296913774775986,0.00173995212749959,0.955177577621045,0.969775105463232
"HALLMARK_ANGIOGENESIS","HALLMARK_COAGULATION",0.876407827627635,-0.133676699819481,1.43998732876604e-05,7.91024429479101e-05
"HALLMARK_ANGIOGENESIS","HALLMARK_COMPLEMENT",0.654553927912434,-0.0411387301183942,0.183690448421966,0.273747931042467
"HALLMARK_ANGIOGENESIS","HALLMARK_DNA_REPAIR",0.172466488705728,-0.0392958340520073,0.204129611674439,0.298756002749329
"HALLMARK_ANGIOGENESIS","HALLMARK_E2F_TARGETS",0.0277791497807203,-0.0161295194186238,0.6023181245009,0.684452414205568
"HALLMARK_ANGIOGENESIS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.960625677136728,0.705531485602868,2.58597399113095e-158,6.33563627827083e-156
"HALLMARK_ANGIOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.374246723050892,0.00452835889126848,0.883699192909198,0.915073128752128
"HALLMARK_ANGIOGENESIS","HALLMARK_ESTROGEN_RESPONSE_LATE",0.454745366285825,-0.0120263982173345,0.69764174246352,0.768722059265631
"HALLMARK_ANGIOGENESIS","HALLMARK_FATTY_ACID_METABOLISM",0.382992854306095,0.00875634922749499,0.777281105355607,0.829415813641654
"HALLMARK_ANGIOGENESIS","HALLMARK_G2M_CHECKPOINT",0.0172513701350594,0.0211218960603672,0.494997393155997,0.593899908536823
"HALLMARK_ANGIOGENESIS","HALLMARK_GLYCOLYSIS",0.518336539572384,-0.0947063549293518,0.00216785651927404,0.00662250432945312
"HALLMARK_ANGIOGENESIS","HALLMARK_HEDGEHOG_SIGNALING",0.737243258511999,0.01768119006033,0.567860962343583,0.658740226203494
"HALLMARK_ANGIOGENESIS","HALLMARK_HEME_METABOLISM",0.46744867144987,-0.0182884931331762,0.554636192756589,0.645232038107143
"HALLMARK_ANGIOGENESIS","HALLMARK_HYPOXIA",0.655708922228122,0.00225775263003009,0.941859556078067,0.959855167493657
"HALLMARK_ANGIOGENESIS","HALLMARK_IL2_STAT5_SIGNALING",0.482414233085581,0.0105669681469067,0.732834864710598,0.795853465665321
"HALLMARK_ANGIOGENESIS","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.426053241436477,0.019977746218339,0.518661142522913,0.615658817432721
"HALLMARK_ANGIOGENESIS","HALLMARK_INFLAMMATORY_RESPONSE",0.404154831672951,0.0666532985919451,0.0311215021734017,0.0649469168013919
"HALLMARK_ANGIOGENESIS","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.149480651910523,0.0716230075297095,0.0205237983343619,0.0459628024855454
"HALLMARK_ANGIOGENESIS","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.234719563764249,-0.0640210627898813,0.0384324437211495,0.0766771067726517
"HALLMARK_ANGIOGENESIS","HALLMARK_KRAS_SIGNALING_DN",0.199115352532798,0.0232869666531772,0.451842540528898,0.55295415798991
"HALLMARK_ANGIOGENESIS","HALLMARK_KRAS_SIGNALING_UP",0.600519563198999,0.398491583280819,3.8771407549941e-41,2.37474871243389e-39
"HALLMARK_ANGIOGENESIS","HALLMARK_MITOTIC_SPINDLE",0.19949558755347,0.00551200770397767,0.858678110038182,0.896743976808843
"HALLMARK_ANGIOGENESIS","HALLMARK_MTORC1_SIGNALING",0.266607177979883,0.078265267434641,0.0113379215803453,0.0276672389161813
"HALLMARK_ANGIOGENESIS","HALLMARK_MYC_TARGETS_V1",0.145411845876794,0.0764792766819144,0.0133552209894522,0.0318290772608539
"HALLMARK_ANGIOGENESIS","HALLMARK_MYC_TARGETS_V2",0.0469470014839488,-0.047449470149742,0.125119207662464,0.200616530610627
"HALLMARK_ANGIOGENESIS","HALLMARK_MYOGENESIS",0.723606759632286,-0.0784886515592552,0.0111056436089102,0.0272633535489278
"HALLMARK_ANGIOGENESIS","HALLMARK_NOTCH_SIGNALING",0.708895003344895,-0.0229538253494054,0.458341287983984,0.559788711645444
