gene_symbol,string_id
CKAP4,9606.ENSP00000367265
CKAP5,9606.ENSP00000432768
CKB,9606.ENSP00000299198
CKMT2,9606.ENSP00000404203
CKS1B,9606.ENSP00000311083
CKS2,9606.ENSP00000364976
CLASP1,9606.ENSP00000263710
CLCA2,9606.ENSP00000359596
CLCF1,9606.ENSP00000309338
CLCN2,9606.ENSP00000265593
CLCN3,9606.ENSP00000261514
CLDN11,9606.ENSP00000064724
CLDN14,9606.ENSP00000382090
CLDN15,9606.ENSP00000385300
CLDN3,9606.ENSP00000378577
CLDN4,9606.ENSP00000409544
CLDN5,9606.ENSP00000385477
CLDN7,9606.ENSP00000353475
CLDN8,9606.ENSP00000382783
CLDN9,9606.ENSP00000398017
CLEC5A,9606.ENSP00000449999
CLGN,9606.ENSP00000392782
CLIC2,9606.ENSP00000358460
CLIC3,9606.ENSP00000419378
CLIP1,9606.ENSP00000479322
CLIP2,9606.ENSP00000223398
CLN5,9606.ENSP00000498772
CLN6,9606.ENSP00000249806
CLN8,9606.ENSP00000328182
CLNS1A,9606.ENSP00000433919
CLP1,9606.ENSP00000434995
CLPB,9606.ENSP00000294053
CLPS,9606.ENSP00000259938
CLSTN3,9606.ENSP00000266546
CLTA,9606.ENSP00000242285
CLTB,9606.ENSP00000309415
CLTC,9606.ENSP00000479606
CLU,9606.ENSP00000315130
CMBL,9606.ENSP00000296658
CMKLR1,9606.ENSP00000449716
CMPK1,9606.ENSP00000360939
CMPK2,9606.ENSP00000256722
CMTR1,9606.ENSP00000362550
CNBP,9606.ENSP00000410769
CNDP2,9606.ENSP00000325548
CNIH2,9606.ENSP00000310003
CNN2,9606.ENSP00000456436
CNN3,9606.ENSP00000359225
CNOT2,9606.ENSP00000229195
CNOT4,9606.ENSP00000445508
CNOT6,9606.ENSP00000481893
CNOT9,9606.ENSP00000486540
CNP,9606.ENSP00000377470
CNTFR,9606.ENSP00000368265
CNTN1,9606.ENSP00000447006
CNTRL,9606.ENSP00000362962
CNTROB,9606.ENSP00000369614
COCH,9606.ENSP00000216361
COG2,9606.ENSP00000355629
COIL,9606.ENSP00000240316
COL11A1,9606.ENSP00000359114
COL12A1,9606.ENSP00000325146
COL15A1,9606.ENSP00000364140
COL16A1,9606.ENSP00000362776
COL17A1,9606.ENSP00000497653
COL1A1,9606.ENSP00000225964
COL1A2,9606.ENSP00000297268
COL2A1,9606.ENSP00000369889
COL3A1,9606.ENSP00000304408
COL4A1,9606.ENSP00000364979
COL4A2,9606.ENSP00000353654
COL5A1,9606.ENSP00000360882
COL5A2,9606.ENSP00000364000
COL5A3,9606.ENSP00000264828
