Hallmark pathway,Gene symbol,STRING ID,Degree centrality
HALLMARK_ALLOGRAFT_REJECTION,CTSS,9606.ENSP00000357981,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,FAS,9606.ENSP00000498466,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,HIF1A,9606.ENSP00000437955,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,HLA-DOB,9606.ENSP00000496848,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,IFNAR2,9606.ENSP00000343957,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,IKBKB,9606.ENSP00000430684,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,STAT4,9606.ENSP00000351255,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,TIMP1,9606.ENSP00000218388,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,TLR1,9606.ENSP00000354932,0.0598802395209581
HALLMARK_ALLOGRAFT_REJECTION,HLA-G,9606.ENSP00000366024,0.0538922155688623
HALLMARK_ALLOGRAFT_REJECTION,IL16,9606.ENSP00000302935,0.0538922155688623
HALLMARK_ALLOGRAFT_REJECTION,THY1,9606.ENSP00000284240,0.0538922155688623
HALLMARK_ALLOGRAFT_REJECTION,WAS,9606.ENSP00000365891,0.0538922155688623
HALLMARK_ALLOGRAFT_REJECTION,EIF3D,9606.ENSP00000216190,0.0479041916167665
HALLMARK_ALLOGRAFT_REJECTION,IRF8,9606.ENSP00000268638,0.0479041916167665
HALLMARK_ALLOGRAFT_REJECTION,NLRP3,9606.ENSP00000337383,0.0479041916167665
HALLMARK_ALLOGRAFT_REJECTION,RIPK2,9606.ENSP00000220751,0.0479041916167665
HALLMARK_ALLOGRAFT_REJECTION,RPL9,9606.ENSP00000494697,0.0479041916167665
HALLMARK_ALLOGRAFT_REJECTION,UBE2N,9606.ENSP00000316176,0.0479041916167665
HALLMARK_ALLOGRAFT_REJECTION,CD7,9606.ENSP00000312027,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,CSK,9606.ENSP00000220003,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,EIF3A,9606.ENSP00000358140,0.0419161676646707
